Time, mem, Virt, Res, SHR, CPU, free, swap
, , , , , , 144.3, 352.3
, , , , , , 143.8, 352.3
0:58.00, 82.5, 2148632, 1.5g, 1668, 50.0, 144.3, 352.3
, , , , , , 136.2, 352.3
, , , , , , 131.2, 352.3
, , , , , , 131.8, 352.3
0:58.44, 83.3, 2163416, 1.5g, 1668, 50.0, 126.3, 352.3
, , , , , , 124.5, 352.3
, , , , , , 114.2, 352.3
, , , , , , 113.7, 352.3
0:58.90, 84.1, 2179124, 1.5g, 1668, 46.7, 112.4, 352.3
, , , , , , 108.5, 352.3
, , , , , , 100.1, 352.3
, , , , , , 100.7, 352.3
0:59.34, 84.9, 2194040, 1.5g, 1668, 52.9, 98.0, 352.3
, , , , , , 92.7, 352.3
